"A Mind Of Its Own","Victoria Beckham",SF187,12,SF187,SF,1," 2/27/13"
Abba,"Voulez Vous",MM6360,15,MM6360,MM,1," 2/27/13"
"Abdul, Paula",Vibeology,SAVP26,14,SAVP26,SA,1," 2/27/13"
"Aguilera, Christina","Voice Within",SF212,7,SF212,SF,1," 2/27/13"
"Aguilera, Christina","Voice Within, The",SC3393,10,SC3393,SC,1," 2/27/13"
"All The Things You Are","Vaughn, Sarah",BS4017,12,BS4017,BS,1," 2/27/13"
"Always And Forever","Vandross, Luther",BS5017,8,BS5017,BS,1," 2/27/13"
America,"Ventura Highway",SC8227,9,SC8227,SC,1," 2/27/13"
"American Child","Vassar, Phil",PHN0208,6,PHN0208,PH,1," 2/27/13"
"Arie, India",Video,MM6394,1,MM6394,MM,1," 2/27/13"
"Avalon, Frankie",Venus,DK030,15,DK030,DK,1," 2/27/13"
Bananarama,Venus,SAVP14,19,SAVP14,SA,1," 2/27/13"
"Beautiful Girls","Van Halen",DG02,14,DG02,DG,1," 2/27/13"
"Best I Ever Had","Vertical Horizon",PHM0102,3,PHM0102,PH,1," 2/27/13"
Beyonce,"Video Phone",PHMU1001,5,PHMU1001,PH,1," 2/27/13"
"Boyz II Men",Vibin',SD017,4,SD017,SD,1," 2/27/13"
"Brickman & Mcbride",Valentine,SC2183,4,SC2183,SC,1," 2/27/13"
"Brickman, Jim",Valentine,MM6188,10,MM6188,MM,1," 2/27/13"
"Brickman, Jim & Martina Mcbride",Valentine,MMCOU202,4,MMCOU202,MM,1," 2/27/13"
"Brickman, Jim & Mcbride, Martina",Valentine,SC1999NSC05,12,SC1999NSC05,SC,1," 2/27/13"
"Brock, Chad","Visit, The",SC8630,12,SC8630,SC,1," 2/27/13"
"Broken Hearted Melody","Vaughn, Sarah",BS4017,5,BS4017,BS,1," 2/27/13"
"Brother Cane","Voice Of Eujena",SC8257,7,SC8257,SC,1," 2/27/13"
"Buffett, Jimmy",Volcano,MM6032,12,MM6032,MM,1," 2/27/13"
"Buggles, The","Video Killed The Radio Star",SC8522,15,SC8522,SC,1," 2/27/13"
"Can't Take My Eyes Off Of You","Valli, Frankie",KJT09,13,KJT09,KJ,1," 2/27/13"
